wave,625-50,675-50,725-50,750-50,775-50,Open,F610,F670,F720,F760,Halpha,Ha-Cont,SII,SII-Cont,ND10,ND25
550,3.59E-10,2.74E-08,1.12E-06,1.33E-07,6.13E-07,0.05023214377,0,0,0,0.05023214377,0,0,0,0,0.1031051,0.003682462695
550.1,3.60E-10,2.94E-08,1.35E-06,1.37E-07,6.47E-07,0.05023871649,0.03793624152,0.002490942498,0.001310684111,0.002355116845,0,0,0,0,0.1031041069,0.003682244729
550.2,3.63E-10,3.18E-08,1.64E-06,1.41E-07,6.80E-07,0.05024529013,0.03795226079,0.002488008762,0.001377660712,0.002277637642,0,0,0,0,0.1031032798,0.003682072267
550.3,3.70E-10,3.47E-08,2.02E-06,1.45E-07,7.12E-07,0.05025186377,0.03797040686,0.002479445524,0.001451314759,0.002197676499,0,0,0,0,0.1031026218,0.003681941254
550.4,3.80E-10,3.82E-08,2.52E-06,1.49E-07,7.43E-07,0.0502584365,0.0379896864,0.002465398195,0.001531372805,0.002116008204,0,0,0,0,0.1031021358,0.003681847639
550.5,3.93E-10,4.24E-08,3.17E-06,1.54E-07,7.71E-07,0.05026500831,0.03800915573,0.002446031094,0.001617522993,0.002033407993,0,0,0,0,0.1031018248,0.00368178737
550.6,4.10E-10,4.75E-08,3.96E-06,1.59E-07,7.97E-07,0.05027158285,0.03802827273,0.002421571399,0.001709207738,0.001950651652,0,0,0,0,0.1031016918,0.003681756393
550.7,4.31E-10,5.36E-08,4.80E-06,1.63E-07,8.20E-07,0.05027816106,0.03804670169,0.002392281091,0.001805733133,0.001868515245,0,0,0,0,0.1031017398,0.003681750657
550.8,4.57E-10,6.12E-08,5.41E-06,1.68E-07,8.38E-07,0.05028472921,0.03806410967,0.002358428755,0.001906381798,0.001787774717,0,0,0,0,0.1031019719,0.00368176611
550.9,4.88E-10,7.06E-08,5.50E-06,1.73E-07,8.52E-07,0.05029128367,0.0380801848,0.002320288569,0.002010413497,0.001709206848,0,0,0,0,0.1031023909,0.003681798698
551,5.32E-10,8.22E-08,5.11E-06,1.78E-07,8.60E-07,0.05029787558,0.03809467092,0.002278140326,0.002117066462,0.001633590622,0,0,0,0,0.103103,0.00368184437
551.1,5.91E-10,9.68E-08,4.36E-06,1.83E-07,8.64E-07,0.05030451865,0.03810729306,0.002232265699,0.002225553713,0.001561703931,0,0,0,0,0.1031038021,0.003681899073
551.2,6.49E-10,1.16E-07,3.52E-06,1.88E-07,8.62E-07,0.05031102193,0.03811755505,0.002183031073,0.002335061527,0.001494252518,0,0,0,0,0.1031048001,0.003681958755
551.3,7.03E-10,1.40E-07,2.81E-06,1.93E-07,8.58E-07,0.05031733429,0.03812517028,0.002130931186,0.002444779912,0.00143174336,0,0,0,0,0.1031059972,0.003682019362
551.4,8.41E-10,1.72E-07,2.25E-06,1.99E-07,8.50E-07,0.05032416829,0.03813049146,0.002076490539,0.002553924237,0.001374665632,0,0,0,0,0.1031073962,0.003682076844
551.5,1.09E-09,2.14E-07,1.82E-06,2.04E-07,8.39E-07,0.05033171488,0.03813346454,0.002020192189,0.00266168851,0.001323491991,0,0,0,0,0.1031090002,0.003682127148
