filter,k (mag/airmass),qe,C_FD (Jy.s/e-),zp_mag,zp (Jy),zp (e-/s),zp_std (e-/s),zp_stderr (e-/s),zp (phot/s),old zp (phot/s),trans,old_trans,trans improve
625-50,0.08117646,0.73962191,8.410585631340973e-07,24.028346724146804,3436.659311475634,4086647090.983386,66145043.99696881,46771609.15213918,5525319133.641384,3111237000.0,0.039105247589555116,0.02201966805030547,1.7759235743343835
675-50,0.053832494,0.6665039800000001,5.392434325641596e-07,24.361198006364088,2993.20047810754,5554020312.076802,190866086.5861329,134962704.1235933,8333063985.719637,5809896000.0,0.06791593998663326,0.04735167625507013,1.434287977912107
725-50,0.038406607,0.6095615300000001,4.4262068834098464e-07,24.50470092360187,2797.2243897843846,6354262351.631039,662869934.0701467,468719825.42568034,10424316560.185545,6040480000.0,0.09466178641601032,0.05485276893778486,1.725743080050848
750-50,0.033860277,0.5838090166666666,5.2393884179753e-07,24.306821626003064,2683.9213606342114,5444626714.698638,1872642941.5441504,1324158522.7069921,9326040810.03312,4158362000.0,0.09221010872590014,0.0411153049779856,2.242719804103904
775-50,0.03136249,0.5651109599999999,1.9846686863667415e-06,22.81547515632068,2614.293646140558,1357418535.671077,330251910.28655946,233523365.2634375,2402038947.6627336,2514628000.0,0.04671233046692246,0.04890184409860336,0.9552263585956786
F610,0.09034138,0.7667918066666667,1.36403848304427e-06,23.868400303391606,4809.507666780274,3527331237.234699,99334636.37266019,70240194.9858079,4600115972.245998,,0.02749883766567265,,
F670,0.056374893,0.6756511555555557,7.037370414774728e-07,24.126535518019487,3147.02679685132,4474436863.690834,151298633.75155023,106984289.90998101,6622406883.936605,,0.06362487512335784,,
F720,0.039893303,0.6179781722222223,4.862863927559228e-07,24.44494277626054,2915.945007542512,5998836276.128091,172598209.42727306,122045364.30668066,9707197674.242344,,0.08184260812173355,,
F760,0.031851713,0.5682738916666668,1.1541239497120812e-06,23.47933181771401,2828.294996602496,2478524420.426383,372058698.1056707,263085228.42995822,4361496202.398499,,0.054315038876337984,,
Ha-Cont,0.062191844,0.7019029708769006,1.5737641504385876e-05,20.78745740582484,3209.80230415553,208519127.085156,26280926.194910508,5256185.238982102,297076854.9741984,,0.05344129371029474,,
Halpha,0.066533156,0.6893723016463474,3.639587485289297e-05,19.468163139222774,2169.7681508428755,64546964.82493078,30594091.26371268,6118818.252742535,93631503.13811679,,0.0487809067072339,,
Open,0.06148405,0.6778079804878048,1.8943145972620247e-07,25.683090198550026,3552.2108542017454,18768325539.402077,783815827.3515692,554241486.7216387,27689738214.493862,19884140000.0,0.05250940766934029,0.037707269217435654,1.392553975907123
SII,0.05448755130014099,0.6679607420704028,8.560262936969097e-06,21.39371055263139,3090.0914025903744,360980898.05690855,,,540422326.2253656,,0.07136145287953499,,
SII-Cont,0.05106129286031787,0.6590759181150054,8.840936560845135e-06,21.339289754483417,3035.3877426123036,343333279.42375153,,,520931306.9816057,,0.07080074873410427,,
